Success?,Film,Production Co.,Total Earnings,Total Theaters,Opening.Box.Office,Opening Theaters,Release,Release Month,Close,Rating,Budget,Genre,ReleaseSeason,SimplifiedGenre,PG,PG-13,R,Summer,Holiday,Other,Action,SciFi/Fantasy,Romance,Animation,Comedy,Drama,Western,Musical,Thriller/Horror,Documentary
1,Chernobyl Diaries,WB,"$18,119,640 ","2,433","$7,955,307 ","2,433",12-May,May,19-Jul,R,"$1,000,000 ",Horror,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,The Devil Inside,Par.,"$53,261,944 ","2,551","$33,732,515 ","2,285",12-Jan,Jan,22-Mar,R,"$1,000,000 ",Horror,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Beasts of the Southern Wild,FoxS,"$12,795,746 ",318,"$169,702 ",4,12-Jun,Jun,21-Mar,13,"$1,800,000 ",Drama,Summer,Drama,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
1,Hit and Run,ORF,"$13,749,300 ","2,870","$4,526,222 ","2,870",12-Aug,Aug,11-Oct,R,"$2,000,000 ",Comedy/Action,Summer,Comedy,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,2016 Obama's America,RM,"$33,449,086 ","2,017","$31,610 ",1,12-Jul,Jul,11-Oct,PG,"$2,500,000 ",Documentary,Summer,Documentary,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
1,Sinister,LG/S,"$48,086,903 ","2,542","$18,007,634 ","2,527",12-Oct,Oct,4-Jan,R,"$3,000,000 ",Horror,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Paranormal Activity 4,Par.,"$53,921,300 ","3,412","$29,003,866 ","3,412",12-Oct,Oct,7-Jan,R,"$5,000,000 ",Horror  ,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,End of Watch,ORF,"$41,003,371 ","2,780","$13,152,683 ","2,730",12-Sep,Sep,18-Jan,R,"$7,000,000 ",Crime Drama,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Magic Mike,WB,"$113,721,571 ","3,120","$39,127,170 ","2,930",12-Jun,Jun,27-Sep,R,"$7,000,000 ",Comedy Drama,Summer,Comedy,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,House at the End of The Street,Rela.,"$31,611,916 ","3,083","$12,287,234 ","3,083",12-Sep,Sep,20-Dec,13,"$10,000,000 ",Thriller,Other,Thriller/Horror,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,The Best Exotic Marigold Hotel,FoxS,"$46,412,041 ","1,298","$737,051 ",27,12-May,May,25-Oct,13,"$10,000,000 ",Comedy Drama,Other,Comedy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Katy Perry: Part of Me,Par.,"$25,326,071 ","2,732","$7,138,266 ","2,730",12-Jul,Jul,30-Aug,PG,"$12,000,000 ",Documentary,Summer,Documentary,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
1,Project X,WB,"$54,731,865 ","3,055","$21,051,363 ","3,055",12-Mar,Mar,17-May,R,"$12,000,000 ",Comedy,Other,Comedy,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Chronicle (2012),Fox,"$64,575,175 ","2,908","$22,004,098 ","2,907",12-Feb,Feb,7-Jun,13,"$12,000,000 ",Si Fi Action,Other,SciFi/Fantasy,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
1,Act of Valor,Rela.,"$70,012,847 ","3,053","$24,476,632 ","3,039",12-Feb,Feb,7-Jun,R,"$12,000,000 ",Thriller,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Think Like a Man,SGem,"$91,547,205 ","2,052","$33,636,303 ","2,015",12-Apr,Apr,8-Jul,13,"$12,000,000 ",Comedy,Other,Comedy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,The Perks of Being a Wallflower,LG/S,"$17,742,948 ",745,"$228,359 ",4,12-Sep,Sep,8-Feb,13,"$13,000,000 ",Drama,Other,Drama,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,A Thousand Words,P/DW,"$18,450,127 ","1,895","$6,176,280 ","1,890",12-Mar,Mar,31-May,13,"$14,000,000 ",comedy/drama,Other,Comedy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Sparkle (2012),TriS,"$24,397,469 ","2,244","$11,643,342 ","2,244",12-Aug,Aug,30-Sep,13,"$14,000,000 ",Music Drama,Summer,Musical,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
1,Tyler Perry's Good Deeds,LGF,"$35,025,791 ","2,132","$15,583,924 ","2,132",12-Feb,Feb,17-May,13,"$14,000,000 ",Drama,Other,Drama,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
1,The Possession,LGF,"$49,130,154 ","2,860","$17,732,480 ","2,816",12-Aug,Aug,22-Nov,13,"$14,000,000 ",Horror,Summer,Thriller/Horror,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,Seven Psychopaths,CBS,"$15,024,049 ","1,480","$4,174,915 ","1,480",12-Oct,Oct,20-Dec,R,"$15,000,000 ",Comedy/Action,Other,Comedy,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,Killing Them Softly,Wein.,"$15,026,056 ","2,424","$6,812,900 ","2,424",12-Nov,Nov,22-Feb,R,"$15,000,000 ",Crime/Thriller,Holiday,Thriller/Horror,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,The Man with the Iron Fists,Uni.,"$15,634,090 ","1,872","$7,910,980 ","1,868",12-Nov,Nov,20-Dec,R,"$15,000,000 ",Action/Adventure,Holiday,Action,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,Moonrise Kingdom,Focus,"$45,512,466 ",924,"$522,996 ",4,12-May,May,1-Nov,13,"$16,000,000 ",Drama,Other,Drama,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
1,Pitch Perfect,Uni.,"$65,001,093 ","2,787","$5,149,433 ",335,12-Sep,Sep,15-Feb,13,"$17,000,000 ",Comedy,Other,Comedy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,Lockout,FD,"$14,326,864 ","2,335","$6,231,836 ","2,308",12-Apr,Apr,24-May,13,"$20,000,000 ",Sci Fi Action,Other,SciFi/Fantasy,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
0,Silent Hill: Revelation 3D,ORF,"$17,529,157 ","2,933","$8,023,036 ","2,933",12-Oct,Oct,16-Dec,R,"$20,000,000 ",Horror,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Tyler Perry's Madea's Witness Protection,LGF,"$65,653,242 ","2,161","$25,390,575 ","2,161",12-Jun,Jun,20-Sep,13,"$20,000,000 ",Comedy,Summer,Comedy,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Silver Linings Playbook,Wein.,"$132,092,958 ","2,809","$443,003 ",16,12-Nov,Nov,6-Jun,R,"$21,000,000 ",Comdedy,Holiday,Comedy,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,To Rome with Love,SPC,"$16,685,867 ",806,"$361,359 ",5,12-Jun,Jun,15-Nov,R,"$21,500,000 ",Comedy,Summer,Comedy,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Diary of a Wimpy Kid: Dog Days,Fox,"$49,008,662 ","3,401","$14,623,599 ","3,391",12-Aug,Aug,20-Dec,PG,"$22,000,000 ",Comedy,Summer,Comedy,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,Haywire,Rela.,"$18,942,396 ","2,441","$8,425,370 ","2,439",12-Jan,Jan,22-Mar,R,"$23,000,000 ",Action,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,The Grey,ORF,"$51,580,236 ","3,208","$19,665,101 ","3,185",12-Jan,Jan,19-Apr,R,"$25,000,000 ",Action Drama,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,The Lucky One,WB,"$60,457,138 ","3,175","$22,518,358 ","3,155",12-Apr,Apr,19-Jul,13,"$25,000,000 ",Romance,Other,Romance,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
1,Contraband,Uni.,"$66,528,000 ","2,870","$24,349,815 ","2,863",12-Jan,Jan,15-Mar,R,"$25,000,000 ",Thriller,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Parental Guidance,Fox,"$77,267,296 ","3,368","$14,554,053 ","3,367",12-Dec,Dec,23-May,PG,"$25,000,000 ",Comedy,Holiday,Comedy,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,The Raven,Rela.,"$16,008,272 ","2,209","$7,289,642 ","2,203",12-Apr,Apr,12-Jul,R,"$26,000,000 ",Thriller,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,Lawless,Wein.,"$37,400,127 ","3,138","$10,001,982 ","2,888",12-Aug,Aug,29-Nov,R,"$26,000,000 ",Crime Drama,Summer,Thriller/Horror,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,Joyful Noise,WB,"$30,932,113 ","2,735","$11,225,190 ","2,735",12-Jan,Jan,22-Mar,13,"$27,500,000 ",Comedy Drama,Other,Comedy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,The Five-Year Engagement,Uni.,"$28,835,528 ","2,941","$10,610,060 ","2,936",12-Apr,Apr,21-Jun,R,"$30,000,000 ",Comedy,Other,Comedy,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,The Cabin in the Woods,LGF,"$42,073,277 ","2,811","$14,743,614 ","2,811",12-Apr,Apr,12-Jul,R,"$30,000,000 ",Horror Comedy,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,The Three Stooges,Fox,"$44,338,224 ","3,482","$17,010,125 ","3,477",12-Apr,Apr,16-Aug,PG,"$30,000,000 ",Comedy,Other,Comedy,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Hope Springs,Sony,"$63,536,011 ","2,441","$14,650,121 ","2,361",12-Aug,Aug,21-Oct,13,"$30,000,000 ",Comedy Drama,Summer,Comedy,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Looper,TriS,"$66,486,205 ","2,993","$20,801,522 ","2,992",12-Sep,Sep,2-Jan,R,"$30,000,000 ",Sci Fi Action,Other,SciFi/Fantasy,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
1,The Vow,SGem,"$125,014,030 ","3,038","$41,202,458 ","2,958",12-Feb,Feb,17-May,13,"$30,000,000 ",Drama,Other,Drama,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
1,Flight,Par.,"$93,772,375 ","2,638","$24,900,566 ","1,884",12-Nov,Nov,15-Feb,R,"$31,000,000 ",Drama,Holiday,Drama,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,Wanderlust,Uni.,"$17,450,535 ","2,002","$6,526,650 ","2,002",12-Feb,Feb,5-Apr,R,"$32,500,000 ",Comedy,Other,Comedy,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,Safe (2012),LGF,"$17,142,080 ","2,271","$7,892,539 ","2,266",12-Apr,Apr,21-Jun,R,"$33,000,000 ",Action,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Step Up Revolution,LG/S,"$35,074,677 ","2,606","$11,731,708 ","2,567",12-Jul,Jul,4-Oct,13,"$33,000,000 ",Music Drama,Summer,Musical,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
0,Premium Rush,Sony,"$20,275,446 ","2,255","$6,030,164 ","2,255",12-Aug,Aug,21-Oct,13,"$35,000,000 ",Action Thriller,Summer,Action,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Alex Cross,LG/S,"$25,888,412 ","2,541","$11,396,768 ","2,539",12-Oct,Oct,4-Jan,13,"$35,000,000 ",Crime Thriller,Other,Thriller/Horror,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,This Is 40,Uni.,"$67,544,505 ","2,931","$11,579,175 ","2,912",12-Dec,Dec,29-Feb,R,"$35,000,000 ",Comedy,Holiday,Comedy,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,The Master,Wein.,"$16,377,274 ",864,"$736,311 ",5,12-Sep,Sep,14-Mar,R,"$37,500,000 ",Drama,Other,Drama,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,Frankenweenie,BV,"$35,291,068 ","3,005","$11,412,213 ","3,005",12-Oct,Oct,29-Feb,PG,"$39,000,000 ",Animation,Other,Animation,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
0,The Impossible,LG/S,"$19,019,882 ",886,"$143,818 ",15,12-Dec,Dec,18-Apr,13,"$40,000,000 ",Drama,Holiday,Drama,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,Big Miracle,Uni.,"$20,157,300 ","2,133","$7,760,205 ","2,129",12-Feb,Feb,5-Apr,PG,"$40,000,000 ",Drama,Other,Drama,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,One For the Money,LGF,"$26,414,527 ","2,737","$11,515,790 ","2,737",12-Jan,Jan,12-Apr,13,"$40,000,000 ",Comedy Action,Other,Comedy,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,The Guilt Trip,Par.,"$37,134,215 ","2,431","$5,290,629 ","2,431",12-Dec,Dec,7-Mar,13,"$40,000,000 ",Comedy,Holiday,Comedy,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,What to Expect When You're Expecting,LGF,"$41,152,203 ","3,021","$10,547,068 ","3,021",12-May,May,2-Aug,13,"$40,000,000 ",Romantic Comedy,Other,Romance,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
0,The Odd Life of Timothy Green,BV,"$51,854,875 ","2,717","$10,822,903 ","2,598",12-Aug,Aug,18-Jan,PG,"$40,000,000 ",Fantasy,Summer,SciFi/Fantasy,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
1,Zero Dark Thirty,Sony,"$95,720,716 ","2,946","$417,150 ",5,12-Dec,Dec,31-Mar,R,"$40,000,000 ",Thriller,Holiday,Thriller/Horror,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,Man on a Ledge,LG/S,"$18,620,000 ","2,998","$8,001,932 ","2,998",12-Jan,Jan,1-Mar,13,"$42,000,000 ",Thriller,Other,Thriller/Horror,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,Here Comes the Boom,Sony,"$45,290,318 ","3,014","$11,816,596 ","3,014",12-Oct,Oct,19-Feb,PG,"$42,000,000 ",Comedy,Other,Comedy,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,21 Jump Street,Sony,"$138,447,667 ","3,148","$36,302,612 ","3,121",12-Mar,Mar,1-Jul,R,"$42,000,000 ",Action Comedy,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,Argo,WB,"$136,025,503 ","3,247","$19,458,109 ","3,232",12-Oct,Oct,24-Apr,R,"$44,500,000 ",Drama Thriller,Other,Thriller/Horror,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,Savages (2012),Uni.,"$47,382,068 ","2,635","$16,016,910 ","2,628",12-Jul,Jul,6-Sep,R,"$45,000,000 ",Thriller,Summer,Thriller/Horror,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Taken 2,Fox,"$139,854,287 ","3,706","$49,514,769 ","3,661",12-Oct,Oct,22-Feb,13,"$45,000,000 ",Action,Other,Action,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Anna Karenina,Focus,"$12,816,367 ",422,"$320,690 ",16,12-Nov,Nov,29-Feb,R,"$49,000,000 ",Drama,Holiday,Drama,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,Dredd,LGF,"$13,414,714 ","2,557","$6,278,491 ","2,506",12-Sep,Sep,1-Nov,R,"$50,000,000 ",Action/Adventure,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,American Reunion,Uni.,"$57,011,521 ","3,203","$21,514,080 ","3,192",12-Apr,Apr,31-May,R,"$50,000,000 ",Comedy,Other,Comedy,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Ted,Uni.,"$218,815,487 ","3,303","$54,415,205 ","3,239",12-Jun,Jun,25-Oct,R,"$50,000,000 ",Comedy   ,Summer,Comedy,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,The Pirates! Band of Misfits,Sony,"$31,051,126 ","3,358","$11,137,734 ","3,358",12-Apr,Apr,5-Aug,PG,"$55,000,000 ",Animation,Other,Animation,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
0,Ghost Rider: Spirit of Vengeance,Sony,"$51,774,002 ","3,174","$22,115,334 ","3,174",12-Feb,Feb,10-May,13,"$57,000,000 ",Action Horror,Other,Action,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Red Tails,Fox,"$49,876,377 ","2,573","$18,782,154 ","2,512",12-Jan,Jan,7-Jun,13,"$58,000,000 ",Action Adventure,Other,Action,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Trouble with the Curve,WB,"$35,763,137 ","3,212","$12,162,040 ","3,212",12-Sep,Sep,13-Dec,13,"$60,000,000 ",Drama,Other,Drama,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,Jack Reacher,Par.,"$80,070,736 ","3,352","$15,210,156 ","3,352",12-Dec,Dec,21-Mar,13,"$60,000,000 ",Crime Drama,Holiday,Thriller/Horror,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
1,Les Miserables (2012),Uni.,"$148,809,770 ","2,927","$27,281,735 ","2,814",12-Dec,Dec,4-Apr,13,"$61,000,000 ",Musical,Holiday,Musical,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
0,Resident Evil: Retribution,SGem,"$42,345,531 ","3,016","$21,052,227 ","3,012",12-Sep,Sep,11-Nov,R,"$65,000,000 ",Action Horror,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Red Dawn (2012),FD,"$44,806,783 ","2,781","$14,276,668 ","2,724",12-Nov,Nov,22-Feb,13,"$65,000,000 ",Action,Holiday,Action,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,This Means War,Fox,"$54,760,791 ","3,189","$17,405,930 ","3,189",12-Feb,Feb,14-Jun,13,"$65,000,000 ",Action,Other,Action,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,The Dictator,Par.,"$59,650,222 ","3,014","$17,435,092 ","3,008",12-May,May,26-Jul,R,"$65,000,000 ",Comedy,Other,Comedy,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
1,Lincoln,BV,"$182,207,973 ","2,293","$944,308 ",11,12-Nov,Nov,25-Apr,13,"$65,000,000 ",Historical Drama,Holiday,Drama,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
0,The Watch,Fox,"$35,353,000 ","3,168","$12,750,297 ","3,168",12-Jul,Jul,18-Oct,R,"$68,000,000 ",Comedy,Summer,Comedy,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,Abraham Lincoln: Vampire Hunter,Fox,"$37,519,139 ","3,109","$16,306,974 ","3,108",12-Jun,Jun,20-Sep,R,"$69,000,000 ",Horror Thriller,Summer,Thriller/Horror,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
0,That's My Boy,Sony,"$36,931,089 ","3,030","$13,453,714 ","3,030",12-Jun,Jun,22-Jul,R,"$70,000,000 ",Comedy,Summer,Comedy,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
0,Underworld Awakening,SGem,"$62,321,039 ","3,078","$25,306,725 ","3,078",12-Jan,Jan,8-Mar,R,"$70,000,000 ",Action Horror,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,Dr. Seuss' The Lorax,Uni.,"$214,030,500 ","3,769","$70,217,070 ","3,729",12-Mar,Mar,26-Jul,PG,"$70,000,000 ",Animation,Other,Animation,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
0,Rock of Ages,WB (NL),"$38,518,613 ","3,470","$14,437,269 ","3,470",12-Jun,Jun,16-Aug,PG,"$75,000,000 ",Musical,Summer,Musical,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
1,The Hunger Games,LGF,"$408,010,692 ","4,137","$152,535,747 ","4,137",12-Mar,Mar,6-Sep,13,"$78,000,000 ",Action/Adventure,Other,Action,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Journey 2: The Mysterious Island,WB,"$103,860,290 ","3,500","$27,335,363 ","3,470",12-Feb,Feb,28-Jun,PG,"$79,000,000 ",Adventure,Other,Action,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
0,Mirror Mirror,Rela.,"$64,935,167 ","3,618","$18,132,085 ","3,603",12-Mar,Mar,16-Aug,PG,"$85,000,000 ",Fantasy,Other,SciFi/Fantasy,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
0,Safe House,Uni.,"$126,373,434 ","3,121","$40,172,720 ","3,119",12-Feb,Feb,17-May,R,"$85,000,000 ",Action Thriller,Other,Action,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,Hotel Transylvania,Sony,"$148,313,048 ","3,375","$42,522,194 ","3,349",12-Sep,Sep,29-Feb,PG,"$85,000,000 ",Animation,Other,Animation,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
0,The Campaign,WB,"$86,907,746 ","3,302","$26,588,460 ","3,205",12-Aug,Aug,22-Nov,R,"$95,000,000 ",Comedy,Summer,Comedy,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
